VendorID ,tpep_pickup_datetime ,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID ,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,12/1/2023 1:02,12/1/2023 1:09,1,1.79,1,N,50,186,1,10,1,0.5,3.75,0,1,18.75,2.5,0
2,12/1/2023 1:11,12/1/2023 1:32,1,5.49,1,N,186,223,1,26.1,1,0.5,6.22,0,1,37.32,2.5,0
2,12/1/2023 1:06,12/1/2023 1:09,1,0.82,1,N,249,90,1,5.8,1,0.5,1,0,1,11.8,2.5,0
2,12/1/2023 1:14,12/1/2023 1:39,1,6.38,1,N,90,112,1,30.3,1,0.5,7.06,0,1,42.36,2.5,0
1,12/1/2023 1:15,12/1/2023 1:44,2,6,1,N,79,238,1,27.5,3.5,0.5,6.5,0,1,39,2.5,0
1,12/1/2023 1:03,12/1/2023 1:18,1,3,1,N,48,107,1,17,3.5,0.5,4.4,0,1,26.4,2.5,0
1,12/1/2023 1:44,12/1/2023 1:59,1,3.8,1,N,161,125,1,19.1,3.5,0.5,4.8,0,1,28.9,2.5,0
2,12/1/2023 1:05,12/1/2023 1:15,2,2.38,1,N,211,48,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,12/1/2023 1:23,12/1/2023 1:25,1,0.52,1,N,68,246,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
1,12/1/2023 1:17,12/1/2023 1:24,1,1,1,N,249,79,1,7.2,3.5,0.5,2.45,0,1,14.65,2.5,0
1,12/1/2023 1:25,12/1/2023 1:33,1,2.7,1,N,107,140,1,12.1,3.5,0.5,3.4,0,1,20.5,2.5,0
2,12/1/2023 1:04,12/1/2023 1:17,1,5.79,1,N,141,87,1,25.4,1,0.5,3.04,0,1,33.44,2.5,0
2,12/1/2023 1:28,12/1/2023 1:34,1,1.47,1,N,125,90,1,8.6,1,0.5,1,0,1,14.6,2.5,0
2,12/1/2023 1:12,12/1/2023 1:19,1,1.72,1,N,237,238,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,12/1/2023 1:18,12/1/2023 1:40,1,5.09,1,N,211,255,1,24,1,0.5,5.8,0,1,34.8,2.5,0
1,12/1/2023 1:06,12/1/2023 1:10,1,0.2,1,N,74,74,3,5.8,1,0.5,0,0,1,8.3,0,0
1,12/1/2023 1:37,12/1/2023 1:49,1,3,1,N,263,41,2,16.3,3.5,0.5,0,0,1,21.3,2.5,0
2,12/1/2023 1:04,12/1/2023 1:09,1,0.86,1,N,158,125,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,12/1/2023 1:21,12/1/2023 1:35,2,2.68,1,N,158,87,1,15.6,1,0.5,4.12,0,1,24.72,2.5,0
2,12/1/2023 1:27,12/1/2023 1:40,1,2,1,N,148,186,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
2,12/1/2023 1:07,12/1/2023 1:17,2,1.44,1,N,249,148,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,12/1/2023 1:53,12/1/2023 2:13,1,4.35,1,N,249,255,1,23.3,1,0.5,5.66,0,1,33.96,2.5,0
2,12/1/2023 1:44,12/1/2023 1:48,1,1.6,1,N,68,48,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,12/1/2023 1:52,12/1/2023 1:59,1,1.59,1,N,48,143,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,12/1/2023 1:09,12/1/2023 1:26,1,1.91,1,N,114,170,1,17,1,0.5,2,0,1,24,2.5,0
2,12/1/2023 1:01,12/1/2023 1:34,1,10.34,1,N,142,189,1,45,1,0.5,10,0,1,60,2.5,0
2,12/1/2023 1:24,12/1/2023 1:34,5,2.77,1,N,141,75,1,14.2,1,0.5,1.11,0,1,20.31,2.5,0
2,12/1/2023 1:22,12/1/2023 1:35,1,2.89,1,N,158,161,1,15.6,1,0.5,4.12,0,1,24.72,2.5,0
